filename,duration_sec,sample_rate,channels
Yali Good News 038 Picture 38 Jesus Will Return 31721_003.wav,15.0,16000,1
Yali Good News 038 Picture 38 Jesus Will Return 31721_004.wav,15.0,16000,1
Yali Good News 038 Picture 38 Jesus Will Return 31721_005.wav,15.0,16000,1
Yali Good News 039 Picture 39 Bearing Fruit 31721_001.wav,15.0,16000,1
Yali Good News 039 Picture 39 Bearing Fruit 31721_002.wav,15.0,16000,1
Yali Good News 039 Picture 39 Bearing Fruit 31721_003.wav,15.0,16000,1
Yali Good News 039 Picture 39 Bearing Fruit 31721_004.wav,15.0,16000,1
Yali Good News 039 Picture 39 Bearing Fruit 31721_005.wav,15.0,16000,1
Yali Good News 039 Picture 39 Bearing Fruit 31721_006.wav,7.278,16000,1
Yali Good News 040 Picture 40 Witnessing 31721_001.wav,15.0,16000,1
Yali Good News 040 Picture 40 Witnessing 31721_002.wav,15.0,16000,1
Yali Good News 040 Picture 40 Witnessing 31721_003.wav,15.0,16000,1
Yali Good News 040 Picture 40 Witnessing 31721_004.wav,15.0,16000,1
Yali Good News 040 Picture 40 Witnessing 31721_005.wav,15.0,16000,1
Yali Good News 040 Picture 40 Witnessing 31721_006.wav,15.0,16000,1
Yali Good News 040 Picture 40 Witnessing 31721_007.wav,14.548,16000,1
Yali LLL 7 JESUS - Lord Saviour 001 Introduction 65173_001.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 001 Introduction 65173_002.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 001 Introduction 65173_003.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 001 Introduction 65173_004.wav,9.02,16000,1
Yali LLL 7 JESUS - Lord Saviour 002 Picture 1 The Birth of Jesus 65173_001.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 002 Picture 1 The Birth of Jesus 65173_002.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 002 Picture 1 The Birth of Jesus 65173_003.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 002 Picture 1 The Birth of Jesus 65173_004.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 002 Picture 1 The Birth of Jesus 65173_005.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 002 Picture 1 The Birth of Jesus 65173_006.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 002 Picture 1 The Birth of Jesus 65173_007.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 002 Picture 1 The Birth of Jesus 65173_008.wav,12.834,16000,1
Yali LLL 7 JESUS - Lord Saviour 003 Picture 2 Jesus Turns Water into Wine 65173_001.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 003 Picture 2 Jesus Turns Water into Wine 65173_002.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 003 Picture 2 Jesus Turns Water into Wine 65173_003.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 003 Picture 2 Jesus Turns Water into Wine 65173_004.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 003 Picture 2 Jesus Turns Water into Wine 65173_005.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 003 Picture 2 Jesus Turns Water into Wine 65173_006.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 003 Picture 2 Jesus Turns Water into Wine 65173_007.wav,14.225,16000,1
Yali LLL 7 JESUS - Lord Saviour 004 Picture 3 Jesus Speaks to Nicodemus 65173_001.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 004 Picture 3 Jesus Speaks to Nicodemus 65173_002.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 004 Picture 3 Jesus Speaks to Nicodemus 65173_003.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 004 Picture 3 Jesus Speaks to Nicodemus 65173_004.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 004 Picture 3 Jesus Speaks to Nicodemus 65173_005.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 004 Picture 3 Jesus Speaks to Nicodemus 65173_006.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 004 Picture 3 Jesus Speaks to Nicodemus 65173_007.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 004 Picture 3 Jesus Speaks to Nicodemus 65173_008.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 004 Picture 3 Jesus Speaks to Nicodemus 65173_009.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 004 Picture 3 Jesus Speaks to Nicodemus 65173_010.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 004 Picture 3 Jesus Speaks to Nicodemus 65173_011.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 004 Picture 3 Jesus Speaks to Nicodemus 65173_012.wav,8.987,16000,1
Yali LLL 7 JESUS - Lord Saviour 005 Picture 4 A Ruler Kneels before Jesus 65173_001.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 005 Picture 4 A Ruler Kneels before Jesus 65173_002.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 005 Picture 4 A Ruler Kneels before Jesus 65173_003.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 005 Picture 4 A Ruler Kneels before Jesus 65173_004.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 005 Picture 4 A Ruler Kneels before Jesus 65173_005.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 005 Picture 4 A Ruler Kneels before Jesus 65173_006.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 005 Picture 4 A Ruler Kneels before Jesus 65173_007.wav,9.535,16000,1
Yali LLL 7 JESUS - Lord Saviour 006 Picture 5 The Sick Man at the Pool 65173_001.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 006 Picture 5 The Sick Man at the Pool 65173_002.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 006 Picture 5 The Sick Man at the Pool 65173_003.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 006 Picture 5 The Sick Man at the Pool 65173_004.wav,15.0,16000,1
